Item ID: 0, Name: Dwarf remains, Options: [null, null, null, null, Destroy].
Item ID: 30, Name: Bucket of wax, Options: [null, null, null, null, drop].
Item ID: 31, Name: null, Options: [null, null, null, null, drop].
Item ID: 32, Name: Lit black candle, Options: [Extinguish, null, null, null, drop].
Item ID: 33, Name: Lit candle, Options: [Extinguish, null, null, null, drop].
Item ID: 34, Name: Null, Options: [null, null, null, null, drop].
Item ID: 35, Name: Excalibur, Options: [null, Wield, null, null, drop].
Item ID: 36, Name: Candle, Options: [null, null, null, null, drop].
Item ID: 37, Name: null, Options: [null, null, null, null, drop].
Item ID: 38, Name: Black candle, Options: [null, null, null, null, drop].
Item ID: 39, Name: Bronze arrowtips, Options: [null, null, null, null, drop].
Item ID: 40, Name: Iron arrowtips, Options: [null, null, null, null, drop].
Item ID: 41, Name: Steel arrowtips, Options: [null, null, null, null, drop].
Item ID: 42, Name: Mithril arrowtips, Options: [null, null, null, null, drop].
Item ID: 43, Name: Adamant arrowtips, Options: [null, null, null, null, drop].
Item ID: 44, Name: Rune arrowtips, Options: [null, null, null, null, drop].
Item ID: 45, Name: Opal bolt tips, Options: [null, null, null, null, drop].
Item ID: 46, Name: Pearl bolt tips, Options: [null, null, null, null, drop].
Item ID: 47, Name: Barb bolttips, Options: [null, null, null, null, drop].
Item ID: 48, Name: Longbow (u), Options: [null, null, null, null, drop].
Item ID: 49, Name: null, Options: [null, null, null, null, drop].
Item ID: 50, Name: Shortbow (u), Options: [null, null, null, null, drop].
Item ID: 51, Name: null, Options: [null, null, null, null, drop].
Item ID: 52, Name: Arrow shaft, Options: [null, null, null, null, drop].
Item ID: 53, Name: Headless arrow, Options: [null, null, null, null, drop].
Item ID: 54, Name: Oak shortbow (u), Options: [null, null, null, null, drop].
Item ID: 55, Name: null, Options: [null, null, null, null, drop].
Item ID: 56, Name: Oak longbow (u), Options: [null, null, null, null, drop].
Item ID: 57, Name: null, Options: [null, null, null, null, drop].
Item ID: 58, Name: Willow longbow (u), Options: [null, null, null, null, drop].
Item ID: 59, Name: null, Options: [null, null, null, null, drop].
Item ID: 60, Name: Willow shortbow (u), Options: [null, null, null, null, drop].
Item ID: 61, Name: null, Options: [null, null, null, null, drop].
Item ID: 62, Name: Maple longbow (u), Options: [null, null, null, null, drop].
Item ID: 63, Name: null, Options: [null, null, null, null, drop].
Item ID: 64, Name: Maple shortbow (u), Options: [null, null, null, null, drop].
Item ID: 65, Name: null, Options: [null, null, null, null, drop].
Item ID: 66, Name: Yew longbow (u), Options: [null, null, null, null, drop].
Item ID: 67, Name: null, Options: [null, null, null, null, drop].
Item ID: 68, Name: Yew shortbow (u), Options: [null, null, null, null, drop].
Item ID: 69, Name: null, Options: [null, null, null, null, drop].
Item ID: 70, Name: Magic longbow (u), Options: [null, null, null, null, drop].
Item ID: 71, Name: null, Options: [null, null, null, null, drop].
Item ID: 72, Name: Magic shortbow (u), Options: [null, null, null, null, drop].
Item ID: 73, Name: null, Options: [null, null, null, null, drop].
Item ID: 74, Name: Khazard helmet, Options: [null, Wear, null, null, drop].
Item ID: 75, Name: Khazard armour, Options: [null, Wear, null, null, drop].
Item ID: 76, Name: Khazard cell keys, Options: [null, null, null, null, drop].
Item ID: 77, Name: Khali brew, Options: [null, null, null, null, drop].
Item ID: 78, Name: Ice arrows, Options: [null, Wield, null, null, drop].
Item ID: 79, Name: null, Options: [null, null, null, null, drop].
Item ID: 80, Name: null, Options: [null, null, null, null, drop].
Item ID: 81, Name: null, Options: [null, null, null, null, drop].
Item ID: 82, Name: null, Options: [null, null, null, null, drop].
Item ID: 83, Name: Lever, Options: [null, null, null, null, drop].
Item ID: 84, Name: Staff of armadyl, Options: [null, null, null, null, drop].
Item ID: 85, Name: Shiny key, Options: [null, null, null, null, drop].
Item ID: 86, Name: Pendant of lucien, Options: [null, Wear, null, null, drop].
Item ID: 87, Name: Armadyl pendant, Options: [null, Wear, null, null, drop].
Item ID: 88, Name: Boots of lightness, Options: [null, Wear, null, null, drop].
Item ID: 89, Name: Boots of lightness, Options: [null, Wear, null, null, drop].
Item ID: 90, Name: Child's blanket, Options: [null, null, null, null, drop].
Item ID: 91, Name: Guam potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 92, Name: null, Options: [null, null, null, null, drop].
Item ID: 93, Name: Marrentill potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 94, Name: null, Options: [null, null, null, null, drop].
Item ID: 95, Name: Tarromin potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 96, Name: null, Options: [null, null, null, null, drop].
Item ID: 97, Name: Harralander potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 98, Name: null, Options: [null, null, null, null, drop].
Item ID: 99, Name: Ranarr potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 100, Name: null, Options: [null, null, null, null, drop].
Item ID: 101, Name: Irit potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 102, Name: null, Options: [null, null, null, null, drop].
Item ID: 103, Name: Avantoe potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 104, Name: null, Options: [null, null, null, null, drop].
Item ID: 105, Name: Kwuarm potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 106, Name: null, Options: [null, null, null, null, drop].
Item ID: 107, Name: Cadantine potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 108, Name: null, Options: [null, null, null, null, drop].
Item ID: 109, Name: Dwarf weed potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 110, Name: null, Options: [null, null, null, null, drop].
Item ID: 111, Name: Torstol potion (unf), Options: [null, null, null, Empty, drop].
Item ID: 112, Name: null, Options: [null, null, null, null, drop].
Item ID: 113, Name: Strength potion(4), Options: [Drink, null, null, Empty, drop].
Item ID: 114, Name: null, Options: [null, null, null, null, drop].
Item ID: 115, Name: Strength potion(3), Options: [Drink, null, null, Empty, drop].
Item ID: 116, Name: null, Options: [null, null, null, null, drop].
Item ID: 117, Name: Strength potion(2), Options: [Drink, null, null, Empty, drop].
Item ID: 118, Name: null, Options: [null, null, null, null, drop].
Item ID: 119, Name: Strength potion(1), Options: [Drink, null, null, Empty, drop].
Item ID: 120, Name: null, Options: [null, null, null, null, drop].
Item ID: 121, Name: Attack potion(3), Options: [Drink, null, null, Empty, drop].
Item ID: 122, Name: null, Options: [null, null, null, null, drop].
Item ID: 123, Name: Attack potion(2), Options: [Drink, null, null, Empty, drop].
Item ID: 124, Name: null, Options: [null, null, null, null, drop].
Item ID: 125, Name: Attack potion(1), Options: [Drink, null, null, Empty, drop].
Item ID: 126, Name: null, Options: [null, null, null, null, drop].
Item ID: 127, Name: Restore potion(3), Options: [Drink, null, null, Empty, drop].
Item ID: 128, Name: null, Options: [null, null, null, null, drop].
Item ID: 129, Name: Restore potion(2), Options: [Drink, null, null, Empty, drop].
Item ID: 130, Name: null, Options: [null, null, null, null, drop].
Item ID: 131, Name: Restore potion(1), Options: [Drink, null, null, Empty, drop].
Item ID: 132, Name: null, Options: [null, null, null, null, drop].
Item ID: 133, Name: Defence potion(3), Options: [Drink, null, null, Empty, drop].
Item ID: 134, Name: null, Options: [null, null, null, null, drop].
Item ID: 135, Name: Defence potion(2), Options: [Drink, null, null, Empty, drop].
Item ID: 136, Name: null, Options: [null, null, null, null, drop].
Item ID: 137, Name: Defence potion(1), Options: [Drink, null, null, Empty, drop].
Item ID: 138, Name: null, Options: [null, null, null, null, drop].
Item ID: 139, Name: Prayer potion(3), Options: [Drink, null, null, Empty, drop].
Item ID: 140, Name: null, Options: [null, null, null, null, drop].
Item ID: 141, Name: Prayer potion(2), Options: [Drink, null, null, Empty, drop].
Item ID: 142, Name: null, Options: [null, null, null, null, drop].
Item ID: 143, Name: Prayer potion(1), Options: [Drink, null, null, Empty, drop].
Item ID: 144, Name: null, Options: [null, null, null, null, drop].
Item ID: 145, Name: Super attack(3), Options: [Drink, null, null, Empty, drop].
Item ID: 146, Name: null, Options: [null, null, null, null, drop].
Item ID: 147, Name: Super attack(2), Options: [Drink, null, null, Empty, drop].
Item ID: 148, Name: null, Options: [null, null, null, null, drop].
Item ID: 149, Name: Super attack(1), Options: [Drink, null, null, Empty, drop].
Item ID: 150, Name: null, Options: [null, null, null, null, drop].
Item ID: 151, Name: Fishing potion(3), Options: [Drink, null, null, Empty, drop].
Item ID: 152, Name: null, Options: [null, null, null, null, drop].
Item ID: 153, Name: Fishing potion(2), Options: [Drink, null, null, Empty, drop].
Item ID: 154, Name: null, Options: [null, null, null, null, drop].
Item ID: 155, Name: Fishing potion(1), Options: [Drink, null, null, Empty, drop].
Item ID: 156, Name: null, Options: [null, null, null, null, drop].
Item ID: 157, Name: Super strength(3), Options: [Drink, null, null, Empty, drop].
Item ID: 158, Name: null, Options: [null, null, null, null, drop].
Item ID: 159, Name: Super strength(2), Options: [Drink, null, null, Empty, drop].
Item ID: 160, Name: null, Options: [null, null, null, null, drop].
Item ID: 161, Name: Super strength(1), Options: [Drink, null, null, Empty, drop].
Item ID: 162, Name: null, Options: [null, null, null, null, drop].
Item ID: 163, Name: Super defence(3), Options: [Drink, null, null, Empty, drop].
Item ID: 164, Name: null, Options: [null, null, null, null, drop].
Item ID: 165, Name: Super defence(2), Options: [Drink, null, null, Empty, drop].
Item ID: 166, Name: null, Options: [null, null, null, null, drop].
Item ID: 167, Name: Super defence(1), Options: [Drink, null, null, Empty, drop].
Item ID: 168, Name: null, Options: [null, null, null, null, drop].
Item ID: 169, Name: Ranging potion(3), Options: [Drink, null, null, Empty, drop].
Item ID: 170, Name: null, Options: [null, null, null, null, drop].
Item ID: 171, Name: Ranging potion(2), Options: [Drink, null, null, Empty, drop].
Item ID: 172, Name: null, Options: [null, null, null, null, drop].
Item ID: 173, Name: Ranging potion(1), Options: [Drink, null, null, Empty, drop].
Item ID: 174, Name: null, Options: [null, null, null, null, drop].
Item ID: 175, Name: Antipoison(3), Options: [Drink, null, null, Empty, drop].
Item ID: 176, Name: null, Options: [null, null, null, null, drop].
Item ID: 177, Name: Antipoison(2), Options: [Drink, null, null, Empty, drop].
Item ID: 178, Name: null, Options: [null, null, null, null, drop].
Item ID: 179, Name: Antipoison(1), Options: [Drink, null, null, Empty, drop].
Item ID: 180, Name: null, Options: [null, null, null, null, drop].
Item ID: 181, Name: Superantipoison(3), Options: [Drink, null, null, Empty, drop].
Item ID: 182, Name: null, Options: [null, null, null, null, drop].
Item ID: 183, Name: Superantipoison(2), Options: [Drink, null, null, Empty, drop].
Item ID: 184, Name: null, Options: [null, null, null, null, drop].
Item ID: 185, Name: Superantipoison(1), Options: [Drink, null, null, Empty, drop].
Item ID: 186, Name: null, Options: [null, null, null, null, drop].
Item ID: 187, Name: Weapon poison, Options: [null, null, null, Empty, drop].
Item ID: 188, Name: null, Options: [null, null, null, null, drop].
Item ID: 189, Name: Zamorak brew(3), Options: [Drink, null, null, Empty, drop].
Item ID: 190, Name: null, Options: [null, null, null, null, drop].
Item ID: 191, Name: Zamorak brew(2), Options: [Drink, null, null, Empty, drop].
Item ID: 192, Name: null, Options: [null, null, null, null, drop].
Item ID: 193, Name: Zamorak brew(1), Options: [Drink, null, null, Empty, drop].
Item ID: 194, Name: null, Options: [null, null, null, null, drop].
Item ID: 195, Name: Potion, Options: [null, null, null, null, drop].
Item ID: 196, Name: null, Options: [null, null, null, null, drop].
Item ID: 197, Name: Poison chalice, Options: [Drink, null, null, null, drop].
Item ID: 198, Name: null, Options: [null, null, null, null, drop].
Item ID: 199, Name: Grimy guam leaf, Options: [Clean, null, null, null, drop].
Item ID: 200, Name: null, Options: [null, null, null, null, drop].
Item ID: 201, Name: Grimy marrentill, Options: [Clean, null, null, null, drop].
Item ID: 202, Name: null, Options: [null, null, null, null, drop].
Item ID: 203, Name: Grimy tarromin, Options: [Clean, null, null, null, drop].
Item ID: 204, Name: null, Options: [null, null, null, null, drop].
Item ID: 205, Name: Grimy harralander, Options: [Clean, null, null, null, drop].
Item ID: 206, Name: null, Options: [null, null, null, null, drop].
Item ID: 207, Name: Grimy ranarr weed, Options: [Clean, null, null, null, drop].
Item ID: 208, Name: null, Options: [null, null, null, null, drop].
Item ID: 209, Name: Grimy irit leaf, Options: [Clean, null, null, null, drop].
Item ID: 210, Name: null, Options: [null, null, null, null, drop].
Item ID: 211, Name: Grimy avantoe, Options: [Clean, null, null, null, drop].
Item ID: 212, Name: null, Options: [null, null, null, null, drop].
Item ID: 213, Name: Grimy kwuarm, Options: [Clean, null, null, null, drop].
Item ID: 214, Name: null, Options: [null, null, null, null, drop].
Item ID: 215, Name: Grimy cadantine, Options: [Clean, null, null, null, drop].
Item ID: 216, Name: null, Options: [null, null, null, null, drop].
Item ID: 217, Name: Grimy dwarf weed, Options: [Clean, null, null, null, drop].
Item ID: 218, Name: null, Options: [null, null, null, null, drop].
Item ID: 219, Name: Grimy torstol, Options: [Clean, null, null, null, drop].
Item ID: 220, Name: null, Options: [null, null, null, null, drop].
Item ID: 221, Name: Eye of newt, Options: [null, null, null, null, drop].
Item ID: 222, Name: null, Options: [null, null, null, null, drop].
Item ID: 223, Name: Red spiders' eggs, Options: [null, null, null, null, drop].
Item ID: 224, Name: null, Options: [null, null, null, null, drop].
Item ID: 225, Name: Limpwurt root, Options: [null, null, null, null, drop].
Item ID: 226, Name: null, Options: [null, null, null, null, drop].
Item ID: 227, Name: Vial of water, Options: [null, null, null, Empty, drop].
Item ID: 228, Name: null, Options: [null, null, null, null, drop].
Item ID: 229, Name: Vial, Options: [null, null, null, null, drop].
Item ID: 230, Name: null, Options: [null, null, null, null, drop].
Item ID: 231, Name: Snape grass, Options: [null, null, null, null, drop].
Item ID: 232, Name: null, Options: [null, null, null, null, drop].
Item ID: 233, Name: Pestle and mortar, Options: [null, null, null, null, drop].
Item ID: 234, Name: null, Options: [null, null, null, null, drop].
Item ID: 235, Name: Unicorn horn dust, Options: [null, null, null, null, drop].
Item ID: 236, Name: null, Options: [null, null, null, null, drop].
Item ID: 237, Name: Unicorn horn, Options: [null, null, null, null, drop].
Item ID: 238, Name: null, Options: [null, null, null, null, drop].
Item ID: 239, Name: White berries, Options: [null, null, null, null, drop].
Item ID: 240, Name: null, Options: [null, null, null, null, drop].
Item ID: 241, Name: Dragon scale dust, Options: [null, null, null, null, drop].
Item ID: 242, Name: null, Options: [null, null, null, null, drop].
Item ID: 243, Name: Blue dragon scale, Options: [null, null, null, null, drop].
Item ID: 244, Name: null, Options: [null, null, null, null, drop].
Item ID: 245, Name: Wine of zamorak, Options: [null, null, null, null, drop].
Item ID: 246, Name: null, Options: [null, null, null, null, drop].
Item ID: 247, Name: Jangerberries, Options: [Eat, null, null, null, drop].
Item ID: 248, Name: null, Options: [null, null, null, null, drop].
Item ID: 249, Name: Guam leaf, Options: [null, null, null, null, drop].
Item ID: 250, Name: null, Options: [null, null, null, null, drop].
Item ID: 251, Name: Marrentill, Options: [null, null, null, null, drop].
Item ID: 252, Name: null, Options: [null, null, null, null, drop].
Item ID: 253, Name: Tarromin, Options: [null, null, null, null, drop].
Item ID: 254, Name: null, Options: [null, null, null, null, drop].
Item ID: 255, Name: Harralander, Options: [null, null, null, null, drop].
Item ID: 256, Name: null, Options: [null, null, null, null, drop].
Item ID: 257, Name: Ranarr weed, Options: [null, null, null, null, drop].
Item ID: 258, Name: null, Options: [null, null, null, null, drop].
Item ID: 259, Name: Irit leaf, Options: [null, null, null, null, drop].
Item ID: 260, Name: null, Options: [null, null, null, null, drop].
Item ID: 261, Name: Avantoe, Options: [null, null, null, null, drop].
Item ID: 262, Name: null, Options: [null, null, null, null, drop].
Item ID: 263, Name: Kwuarm, Options: [null, null, null, null, drop].
Item ID: 264, Name: null, Options: [null, null, null, null, drop].
Item ID: 265, Name: Cadantine, Options: [null, null, null, null, drop].
Item ID: 266, Name: null, Options: [null, null, null, null, drop].
Item ID: 267, Name: Dwarf weed, Options: [null, null, null, null, drop].
Item ID: 268, Name: null, Options: [null, null, null, null, drop].
Item ID: 269, Name: Torstol, Options: [null, null, null, null, drop].
Item ID: 270, Name: null, Options: [null, null, null, null, drop].
Item ID: 271, Name: Pressure gauge, Options: [null, null, null, null, drop].
Item ID: 272, Name: Fish food, Options: [null, null, null, null, drop].
Item ID: 273, Name: Poison, Options: [null, null, null, null, drop].
Item ID: 274, Name: Poisoned fish food, Options: [null, null, null, null, drop].
Item ID: 275, Name: Key, Options: [null, null, null, null, drop].
Item ID: 276, Name: Rubber tube, Options: [null, null, null, null, drop].
Item ID: 277, Name: Oil can, Options: [null, null, null, null, drop].
Item ID: 278, Name: Cattleprod, Options: [null, Equip, null, null, drop].
Item ID: 279, Name: Sheep feed, Options: [null, null, null, null, drop].
Item ID: 280, Name: Sheep bones (1), Options: [null, null, null, null, drop].
Item ID: 281, Name: Sheep bones (2), Options: [null, null, null, null, drop].
Item ID: 282, Name: Sheep bones (3), Options: [null, null, null, null, drop].
Item ID: 283, Name: Sheep bones (4), Options: [null, null, null, null, drop].
Item ID: 284, Name: Plague jacket, Options: [null, Wear, null, null, drop].
Item ID: 285, Name: Plague trousers, Options: [null, Wear, null, null, drop].
Item ID: 286, Name: Orange goblin mail, Options: [null, Wear, null, null, drop].
Item ID: 287, Name: Blue goblin mail, Options: [null, Wear, null, null, drop].
Item ID: 288, Name: Goblin mail, Options: [null, Wear, null, null, drop].
Item ID: 289, Name: null, Options: [null, null, null, null, drop].
Item ID: 290, Name: Research package, Options: [null, null, null, null, drop].
Item ID: 291, Name: Notes, Options: [null, null, null, null, drop].
Item ID: 292, Name: Book on baxtorian, Options: [Read, null, null, null, drop].
Item ID: 293, Name: A key, Options: [null, null, null, null, drop].
Item ID: 294, Name: Glarial's pebble, Options: [null, null, null, null, drop].
Item ID: 295, Name: Glarial's amulet, Options: [null, Wear, null, null, drop].
Item ID: 296, Name: Glarial's urn, Options: [null, null, null, null, drop].
Item ID: 297, Name: Glarial's urn, Options: [null, null, null, null, drop].
Item ID: 298, Name: A key, Options: [null, null, null, null, drop].
Item ID: 299, Name: Mithril seeds, Options: [Plant, null, null, null, drop].
Item ID: 300, Name: Rat's tail, Options: [null, null, null, null, drop].
Item ID: 301, Name: Lobster pot, Options: [null, null, null, null, drop].
Item ID: 302, Name: null, Options: [null, null, null, null, drop].
Item ID: 303, Name: Small fishing net, Options: [null, null, null, null, drop].
Item ID: 304, Name: null, Options: [null, null, null, null, drop].
Item ID: 305, Name: Big fishing net, Options: [null, null, null, null, drop].
Item ID: 306, Name: null, Options: [null, null, null, null, drop].
Item ID: 307, Name: Fishing rod, Options: [null, null, null, null, drop].
Item ID: 308, Name: null, Options: [null, null, null, null, drop].
Item ID: 309, Name: Fly fishing rod, Options: [null, null, null, null, drop].
Item ID: 310, Name: null, Options: [null, null, null, null, drop].
Item ID: 311, Name: Harpoon, Options: [null, null, null, null, drop].
Item ID: 312, Name: null, Options: [null, null, null, null, drop].
Item ID: 313, Name: Fishing bait, Options: [null, null, null, null, drop].
Item ID: 314, Name: Feather, Options: [null, null, null, null, drop].
Item ID: 315, Name: Shrimps, Options: [Eat, null, null, null, drop].
Item ID: 316, Name: null, Options: [null, null, null, null, drop].
Item ID: 317, Name: Raw shrimps, Options: [null, null, null, null, drop].
Item ID: 318, Name: null, Options: [null, null, null, null, drop].
Item ID: 319, Name: Anchovies, Options: [Eat, null, null, null, drop].
Item ID: 320, Name: null, Options: [null, null, null, null, drop].
Item ID: 321, Name: Raw anchovies, Options: [null, null, null, null, drop].
Item ID: 322, Name: null, Options: [null, null, null, null, drop].
Item ID: 323, Name: Burnt fish, Options: [null, null, null, null, drop].
Item ID: 324, Name: null, Options: [null, null, null, null, drop].
Item ID: 325, Name: Sardine, Options: [Eat, null, null, null, drop].
Item ID: 326, Name: null, Options: [null, null, null, null, drop].
Item ID: 327, Name: Raw sardine, Options: [null, null, null, null, drop].
Item ID: 328, Name: null, Options: [null, null, null, null, drop].
Item ID: 329, Name: Salmon, Options: [Eat, null, null, null, drop].
Item ID: 330, Name: null, Options: [null, null, null, null, drop].
Item ID: 331, Name: Raw salmon, Options: [null, null, null, null, drop].
Item ID: 332, Name: null, Options: [null, null, null, null, drop].
Item ID: 333, Name: Trout, Options: [Eat, null, null, null, drop].
Item ID: 334, Name: null, Options: [null, null, null, null, drop].
Item ID: 335, Name: Raw trout, Options: [null, null, null, null, drop].
Item ID: 336, Name: null, Options: [null, null, null, null, drop].
Item ID: 337, Name: Giant carp, Options: [Eat, null, null, null, drop].
Item ID: 338, Name: Raw giant carp, Options: [null, null, null, null, drop].
Item ID: 339, Name: Cod, Options: [Eat, null, null, null, drop].
Item ID: 340, Name: null, Options: [null, null, null, null, drop].
Item ID: 341, Name: Raw cod, Options: [null, null, null, null, drop].
Item ID: 342, Name: null, Options: [null, null, null, null, drop].
Item ID: 343, Name: Burnt fish, Options: [null, null, null, null, drop].
Item ID: 344, Name: null, Options: [null, null, null, null, drop].
Item ID: 345, Name: Raw herring, Options: [null, null, null, null, drop].
Item ID: 346, Name: null, Options: [null, null, null, null, drop].
Item ID: 347, Name: Herring, Options: [Eat, null, null, null, drop].
Item ID: 348, Name: null, Options: [null, null, null, null, drop].
Item ID: 349, Name: Raw pike, Options: [null, null, null, null, drop].
Item ID: 350, Name: null, Options: [null, null, null, null, drop].
Item ID: 351, Name: Pike, Options: [Eat, null, null, null, drop].
Item ID: 352, Name: null, Options: [null, null, null, null, drop].
Item ID: 353, Name: Raw mackerel, Options: [null, null, null, null, drop].
Item ID: 354, Name: null, Options: [null, null, null, null, drop].
Item ID: 355, Name: Mackerel, Options: [Eat, null, null, null, drop].
Item ID: 356, Name: null, Options: [null, null, null, null, drop].
Item ID: 357, Name: Burnt fish, Options: [null, null, null, null, drop].
Item ID: 358, Name: null, Options: [null, null, null, null, drop].
Item ID: 359, Name: Raw tuna, Options: [null, null, null, null, drop].
Item ID: 360, Name: null, Options: [null, null, null, null, drop].
Item ID: 361, Name: Tuna, Options: [Eat, null, null, null, drop].
Item ID: 362, Name: null, Options: [null, null, null, null, drop].
Item ID: 363, Name: Raw bass, Options: [null, null, null, null, drop].
Item ID: 364, Name: null, Options: [null, null, null, null, drop].
Item ID: 365, Name: Bass, Options: [Eat, null, null, null, drop].
Item ID: 366, Name: null, Options: [null, null, null, null, drop].
Item ID: 367, Name: Burnt fish, Options: [null, null, null, null, drop].
Item ID: 368, Name: null, Options: [null, null, null, null, drop].
Item ID: 369, Name: Burnt fish, Options: [null, null, null, null, drop].
Item ID: 370, Name: null, Options: [null, null, null, null, drop].
Item ID: 371, Name: Raw swordfish, Options: [null, null, null, null, drop].
Item ID: 372, Name: null, Options: [null, null, null, null, drop].
Item ID: 373, Name: Swordfish, Options: [Eat, null, null, null, drop].
Item ID: 374, Name: null, Options: [null, null, null, null, drop].
Item ID: 375, Name: Burnt swordfish, Options: [null, null, null, null, drop].
Item ID: 376, Name: null, Options: [null, null, null, null, drop].
Item ID: 377, Name: Raw lobster, Options: [null, null, null, null, drop].
Item ID: 378, Name: null, Options: [null, null, null, null, drop].
Item ID: 379, Name: Lobster, Options: [Eat, null, null, null, drop].
Item ID: 380, Name: null, Options: [null, null, null, null, drop].
Item ID: 381, Name: Burnt lobster, Options: [null, null, null, null, drop].
Item ID: 382, Name: null, Options: [null, null, null, null, drop].
Item ID: 383, Name: Raw shark, Options: [null, null, null, null, drop].
Item ID: 384, Name: null, Options: [null, null, null, null, drop].
Item ID: 385, Name: Shark, Options: [Eat, null, null, null, drop].
Item ID: 386, Name: null, Options: [null, null, null, null, drop].
Item ID: 387, Name: Burnt shark, Options: [null, null, null, null, drop].
Item ID: 388, Name: null, Options: [null, null, null, null, drop].
Item ID: 389, Name: Raw manta ray, Options: [null, null, null, null, drop].
Item ID: 390, Name: null, Options: [null, null, null, null, drop].
Item ID: 391, Name: Manta ray, Options: [Eat, null, null, null, drop].
Item ID: 392, Name: null, Options: [null, null, null, null, drop].
Item ID: 393, Name: Burnt manta ray, Options: [null, null, null, null, drop].
Item ID: 394, Name: null, Options: [null, null, null, null, drop].
Item ID: 395, Name: Raw sea turtle, Options: [null, null, null, null, drop].
Item ID: 396, Name: null, Options: [null, null, null, null, drop].
Item ID: 397, Name: Sea turtle, Options: [Eat, null, null, null, drop].
Item ID: 398, Name: null, Options: [null, null, null, null, drop].
Item ID: 399, Name: Burnt sea turtle, Options: [null, null, null, null, drop].
Item ID: 400, Name: null, Options: [null, null, null, null, drop].
Item ID: 401, Name: Seaweed, Options: [null, null, null, null, drop].
Item ID: 402, Name: null, Options: [null, null, null, null, drop].
Item ID: 403, Name: Edible seaweed, Options: [Eat, null, null, null, drop].
Item ID: 404, Name: null, Options: [null, null, null, null, drop].
Item ID: 405, Name: Casket, Options: [Open, null, null, null, drop].
Item ID: 406, Name: null, Options: [null, null, null, null, drop].
Item ID: 407, Name: Oyster, Options: [Open, null, null, null, drop].
Item ID: 408, Name: null, Options: [null, null, null, null, drop].
Item ID: 409, Name: Empty oyster, Options: [null, null, null, null, drop].
Item ID: 410, Name: null, Options: [null, null, null, null, drop].
Item ID: 411, Name: Oyster pearl, Options: [null, null, null, null, drop].
Item ID: 412, Name: null, Options: [null, null, null, null, drop].
Item ID: 413, Name: Oyster pearls, Options: [null, null, null, null, drop].
Item ID: 414, Name: null, Options: [null, null, null, null, drop].
Item ID: 415, Name: Ethenea, Options: [null, null, null, null, drop].
Item ID: 416, Name: Liquid honey, Options: [null, null, null, null, drop].
Item ID: 417, Name: Sulphuric broline, Options: [null, null, null, null, drop].
Item ID: 418, Name: Plague sample, Options: [null, null, null, null, drop].
Item ID: 419, Name: Touch paper, Options: [null, null, null, null, drop].
Item ID: 420, Name: Distillator, Options: [null, null, null, null, drop].
Item ID: 421, Name: Lathas' amulet, Options: [null, Wear, null, null, drop].
